,Date,Store listing visitors: All traffic sources,Store listing visitors: Ads and referrals,Store listing visitors: Google Play explore,Store listing visitors: Google Play search,Store listing acquisitions: All traffic sources,Store listing acquisitions: Ads and referrals,Store listing acquisitions: Google Play explore,Store listing acquisitions: Google Play search,Store listing conversion rate: All traffic sources,Store listing conversion rate: Peers' median (All traffic sources),Store listing conversion rate: 25th percentile (All traffic sources),Store listing conversion rate: 75th percentile (All traffic sources),Store listing conversion rate: Ads and referrals,Store listing conversion rate: Google Play explore,Store listing conversion rate: Google Play search,Notes,pull_date
744,6 Nov 2024,"6,102","5,960",119,23,532,513,8,11,8.72%,43.50%,33.04%,53.31%,8.61%,6.72%,47.83%,,2024-12-18
745,7 Nov 2024,"6,021","5,868",140,13,493,473,17,3,8.19%,42.91%,32.70%,52.89%,8.06%,12.14%,23.08%,,2024-12-18
746,8 Nov 2024,"6,258","6,097",152,9,483,451,28,4,7.72%,50.37%,38.86%,61.02%,7.40%,18.42%,44.44%,,2024-12-18
747,9 Nov 2024,"6,969","6,746",204,19,543,517,18,8,7.79%,42.72%,32.09%,52.61%,7.66%,8.82%,42.11%,,2024-12-18
748,10 Nov 2024,"5,215","5,022",179,14,481,459,19,3,9.22%,42.86%,32.26%,52.56%,9.14%,10.61%,21.43%,,2024-12-18
749,11 Nov 2024,"5,471","5,276",179,16,490,463,19,8,8.96%,43.59%,33.24%,53.41%,8.78%,10.61%,50%,,2024-12-18
750,12 Nov 2024,"4,827","4,663",151,13,502,479,16,7,10.40%,50.93%,39.71%,61.33%,10.27%,10.60%,53.85%,,2024-12-18
751,13 Nov 2024,"6,159","5,986",156,17,566,551,12,3,9.19%,42.98%,32.50%,52.65%,9.20%,7.69%,17.65%,,2024-12-18
752,14 Nov 2024,"6,056","5,898",143,15,497,479,13,5,8.21%,44.12%,33.33%,54.17%,8.12%,9.09%,33.33%,,2024-12-18
753,15 Nov 2024,"5,609","5,420",173,16,534,516,15,3,9.52%,42.86%,32.14%,52.63%,9.52%,8.67%,18.75%,,2024-12-18
754,16 Nov 2024,"5,424","5,213",199,12,483,456,21,6,8.90%,42.86%,32.18%,52.55%,8.75%,10.55%,50%,,2024-12-18
755,17 Nov 2024,"4,393","4,214",160,19,469,440,23,6,10.68%,43.75%,33.33%,53.66%,10.44%,14.38%,31.58%,,2024-12-18
756,18 Nov 2024,432,297,122,13,69,50,11,8,15.97%,43.90%,33.33%,53.73%,16.84%,9.02%,61.54%,,2024-12-18
757,19 Nov 2024,205,91,106,8,40,23,14,3,19.51%,43.33%,32.71%,53.24%,25.27%,13.21%,37.50%,,2024-12-18
758,20 Nov 2024,161,58,91,12,35,12,16,7,21.74%,43.53%,33.05%,53.31%,20.69%,17.58%,58.33%,,2024-12-18
759,21 Nov 2024,166,45,105,16,32,10,13,9,19.28%,43.50%,33%,53.60%,22.22%,12.38%,56.25%,,2024-12-18
760,22 Nov 2024,165,39,112,14,29,9,14,6,17.58%,43.14%,32.35%,53.13%,23.08%,12.50%,42.86%,,2024-12-18
761,23 Nov 2024,169,34,124,11,26,10,9,7,15.38%,42.86%,32.01%,52.94%,29.41%,7.26%,63.64%,,2024-12-18
762,24 Nov 2024,157,30,115,12,34,11,14,9,21.66%,47.36%,35.58%,57.83%,36.67%,12.17%,75%,,2024-12-18
763,25 Nov 2024,137,18,108,11,21,5,11,5,15.33%,44.12%,33.33%,54%,27.78%,10.19%,45.45%,,2024-12-18
764,26 Nov 2024,168,29,126,13,19,6,8,5,11.31%,43.42%,33.21%,53.42%,20.69%,6.35%,38.46%,,2024-12-18
765,27 Nov 2024,156,30,110,16,34,10,15,9,21.79%,44.19%,33.33%,54.55%,33.33%,13.64%,56.25%,,2024-12-18
766,28 Nov 2024,156,18,131,7,22,6,13,3,14.10%,44.12%,33.26%,54.12%,33.33%,9.92%,42.86%,,2024-12-18
767,29 Nov 2024,172,21,138,13,28,4,16,8,16.28%,42.99%,32.55%,52.78%,19.05%,11.59%,61.54%,,2024-12-18
768,30 Nov 2024,147,22,116,9,16,5,9,2,10.88%,42.86%,32.20%,52.88%,22.73%,7.76%,22.22%,,2024-12-18
769,1 Dec 2024,156,36,112,8,35,14,17,4,22.44%,43.84%,33%,53.57%,38.89%,15.18%,50%,,2024-12-18
770,2 Dec 2024,151,25,111,15,19,7,9,3,12.58%,44.23%,33.33%,54.17%,28%,8.11%,20%,,2024-12-18
771,3 Dec 2024,184,30,148,6,20,6,12,2,10.87%,43.57%,33.08%,53.57%,20%,8.11%,33.33%,,2024-12-18
772,4 Dec 2024,165,21,134,10,21,12,5,4,12.73%,44.26%,33.33%,54.43%,57.14%,3.73%,40%,,2024-12-18
773,5 Dec 2024,157,33,117,7,25,5,14,6,15.92%,43.66%,33.33%,53.63%,15.15%,11.97%,85.71%,,2024-12-18
774,6 Dec 2024,142,25,106,11,21,8,5,8,14.79%,43.09%,32.43%,52.96%,32%,4.72%,72.73%,,2024-12-18
775,7 Dec 2024,132,22,96,14,31,9,13,9,23.48%,50.63%,39.16%,61.51%,40.91%,13.54%,64.29%,,2024-12-18
776,8 Dec 2024,485,387,91,7,54,39,14,1,11.13%,44.19%,33.33%,54.55%,10.08%,15.38%,14.29%,,2024-12-18
777,9 Dec 2024,"1,959","1,847",103,9,173,154,16,3,8.83%,47.44%,35.71%,58.19%,8.34%,15.53%,33.33%,,2024-12-18
778,10 Dec 2024,"2,377","2,251",107,19,198,175,15,8,8.33%,44.12%,33.33%,53.95%,7.77%,14.02%,42.11%,,2024-12-18
779,11 Dec 2024,"2,540","2,411",118,11,195,178,14,3,7.68%,43.75%,32.86%,53.85%,7.38%,11.86%,27.27%,,2024-12-18
780,12 Dec 2024,"2,422","2,238",166,18,198,177,15,6,8.18%,43.92%,33.32%,54.35%,7.91%,9.04%,33.33%,,2024-12-18
781,13 Dec 2024,"3,128","2,970",148,10,183,166,14,3,5.85%,43.75%,33.06%,53.85%,5.59%,9.46%,30%,,2024-12-18
